tournament_slug,division,group,position,team,played,wins,losses,games_for,games_against,difference,bonus_points,points,qualification
ipt-goa-grandslam-11-0,Mixed Open,A,3,Amaya Kothari / Parth Bhatia,3,1,2,15,20,-5,0,2,best_third_qualifier
ipt-goa-grandslam-11-0,Mixed Open,A,4,Ashwati Ramesh / Karan Mehrotra,3,0,3,5,24,-19,0,0,eliminated
ipt-goa-grandslam-11-0,Mixed Open,B,1,Namita Bal / Aditya Jagtap,3,3,0,24,0,24,3,9,automatic_qualifier
ipt-goa-grandslam-11-0,Mixed Open,B,2,Anmol Malhotra / Yugantar Malhotra,3,2,1,16,12,4,1,5,automatic_qualifier
ipt-goa-grandslam-11-0,Mixed Open,B,3,Rhea Mathews / Joel Duarte,3,1,2,8,18,-10,0,2,eliminated
ipt-goa-grandslam-11-0,Mixed Open,B,4,Ryan Carroll / Ryan Carroll Partner,3,0,3,6,24,-18,0,0,eliminated
ipt-goa-grandslam-11-0,Mixed Open,C,1,Suhani Sabharwal / Bhagya Popat,3,3,0,24,12,12,0,6,automatic_qualifier
ipt-goa-grandslam-11-0,Mixed Open,C,2,Kyra Pereira / Adhiraj Bhattacharya,3,2,1,20,14,6,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Mixed Open,C,3,Rhea Jiandani / Mayank Daga,3,1,2,13,21,-8,0,2,best_third_qualifier
ipt-goa-grandslam-11-0,Mixed Open,C,4,Kanchan Sharma / Mikhail Mehra,3,0,3,14,24,-10,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP A,1,Muhammed Ajmal / Aravind Kannan,3,3,0,24,6,18,1,7,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP A,2,Rajveer Patel / Arnav Tanna,3,2,1,20,8,12,2,6,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP A,3,Frederick Williams / Venkatesh Anilkumar,3,1,2,10,16,-6,1,3,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP A,4,Sanjay Davis Tony / Savio Zibi,3,0,3,0,24,-24,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP B,1,Shaan Shah / Sandip Sabharwal,3,3,0,24,9,15,0,6,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP B,2,Vishal Thomas / Terence Thomas,3,2,1,18,10,8,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP B,3,Glenn Renny / Renny Chacko,3,1,2,15,17,-2,0,2,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP B,4,Raghul Arvind / Subramanian Shivshankaran,3,0,3,3,24,-21,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP C,1,Arvind Sriram / Ananth Menon,3,3,0,24,11,13,0,6,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP C,2,Junaiz Odakkal / Aadil Abdul Azeez,3,2,1,22,12,10,1,5,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP C,3,Chacko Cherian / Joseph Korah,3,1,2,15,17,-2,0,2,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP C,4,Basudev Rai / Abhay Biswakarma,3,0,3,3,24,-21,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP D,1,Siddhant Gupta / Aman Makan,3,3,0,24,6,18,2,8,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Beginner,GROUP D,2,Royce Raju Beena / James Joseph,3,1,2,21,22,-1,0,2,automatic_qualifier
