player_id,ranking_category,old_points,repriced,unpriced_results
ranked-dhruv-chugh,Men's,100,100.0,0
ranked-dhruv-nath,Men's,9,5.0,0
ranked-dhruv-sanghai,Men's,96,75.0,0
ranked-diya-sanghi,Women's,296,238.0,0
ranked-diyaan-chheda,Men's,120,,1
ranked-ekta-phadke,Women's,9,5.0,0
ranked-eran-sai-teja,Men's,40,36.0,0
ranked-francina-thompson,Women's,18,9.0,0
ranked-gaurav-d,Men's,18,9.0,0
ranked-govind-mohan,Men's,120,54.0,0
ranked-gurangad-malik,Men's,30,18.0,0
ranked-hardik-vardhan,Men's,30,14.0,0
ranked-harsh-chauhan,Men's,15,9.0,0
ranked-harsh-keswani,Men's,15,9.0,0
ranked-harsh-seth,Men's,18,15.0,0
ranked-harshal-rukhaiyar,Men's,120,,1
ranked-himanshu-mali,Men's,360,54.0,2
ranked-hussain-badri,Men's,240,,2
ranked-inder-prakash-khatri,Men's,20,9.0,0
ranked-ishaan-maitreya,Men's,50,50.0,0
ranked-jaanav-reddy,Men's,30,25.0,0
ranked-jagriti-choudhary,Women's,66,45.0,0
ranked-jash-shah,Men's,18,9.0,0
ranked-jasmer-kapany,Men's,460,216.0,1
ranked-jason-varghese,Men's,30,18.0,0
ranked-jay-dalal,Men's,120,,1
ranked-jeet-desai,Men's,50,50.0,0
ranked-jenai-bilimoria,Women's,2452,2285.0,0
ranked-jigar-doshi,Men's,20,9.0,0
ranked-joseph-palal,Men's,18,9.0,0
ranked-josh-bhasin,Men's,280,108.0,1
ranked-k-k-cherian,Men's,18,9.0,0
ranked-kabbir-sukhwani,Men's,40,36.0,0
ranked-kamran-attarwala,Men's,9,5.0,0
ranked-kannan-rahul,Men's,9,5.0,0
ranked-karan-bhangay,Men's,9,5.0,0
ranked-karan-goenka,Men's,36,30.0,0
ranked-karan-melwani,Men's 40+,240,216.0,0
ranked-karan-parekh,Men's,60,60.0,0
ranked-karan-singh,Men's,12,9.0,0
ranked-karishma-singhal,Women's,20,18.0,0
ranked-karn-shukla,Men's,18,15.0,0
ranked-karthikeyan-polavarapu,Men's,30,30.0,0
ranked-kashish-malkani,Men's,44,27.0,0
ranked-kashyap-ashok,Men's,180,108.0,0
ranked-keenan-tham,Men's,24,18.0,0
ranked-kismet-singh,Women's,30,30.0,0
ranked-krishna-chawla,Men's,12,5.0,0
ranked-krishna-daryanani,Men's,12,9.0,0
ranked-lakshya-sood,Women's,24,18.0,0
ranked-lokesh-pun,Men's,60,60.0,0
ranked-madhav-kotak,Men's,12,5.0,0
ranked-maithili-parikh,Women's,12,9.0,0
ranked-maitreyi-parikh,Women's,50,50.0,0
ranked-manav-peshwani,Men's,160,108.0,0
ranked-mangesh-iname,Men's,30,30.0,0
ranked-manik-oberoi,Men's,18,9.0,0
ranked-mankaran-talwar,Men's,24,18.0,0
ranked-matt-shaw,Men's,18,9.0,0
ranked-medhansh-nagpal,Men's,20,9.0,0
ranked-megh-patel,Men's,180,108.0,0
ranked-milla-rae,Women's,18,9.0,0
ranked-mir-mehta,Men's,40,36.0,0
ranked-mohammed-junaid,Men's,9,5.0,0
ranked-mohammed-rushnaiwala,Men's,30,18.0,0
ranked-mohammed-talha-gigani,Men's,32,14.0,0
ranked-mohit-dahiya,Men's,120,,1
ranked-mrinalini-pandit,Women's,9,5.0,0
ranked-mudit-sanghavi,Men's,20,9.0,0
ranked-muhammed-hussain,Men's,9,5.0,0
ranked-muhammed-miras,Men's,120,,1
ranked-muhsin-abdulrahiman,Men's,18,9.0,0
ranked-nandish-vasa,Men's,20,9.0,0
ranked-nasir-masood,Men's,36,30.0,0
ranked-neeraj-janthly,Men's,9,5.0,0
ranked-neil-kadakia,Men's,108,77.0,0
ranked-neil-walter,Men's,24,18.0,0
ranked-nihal-hemdev,Men's,15,9.0,0
ranked-nihal-warawdekar,Men's,18,9.0,0
ranked-nikhil-sahni,Men's,12,9.0,0
ranked-nishant-walimbe,Men's,9,5.0,0
ranked-nivaan-choksi,Men's,18,9.0,0
ranked-param-jain,Men's,18,9.0,0
ranked-parth-jindal,Men's,120,,1
ranked-pooja-bhansali,Women's,9,5.0,0
ranked-pooja-jain,Women's,9,5.0,0
ranked-pooja-shetty,Women's,18,15.0,0
ranked-poojan-dodhiya,Men's,18,9.0,0
ranked-prabh-sifat-kaur,Women's,20,18.0,0
ranked-pranav-mehra,Men's,9,5.0,0
ranked-pranav-uppal,Men's,9,5.0,0
ranked-pranav-vakharia,Men's,68,36.0,0
ranked-prasham-mody,Men's,120,54.0,0
ranked-pratap-pandit,Men's,20,9.0,0
ranked-prateek-mago,Men's,15,9.0,0
ranked-pratik-kalaria,Men's,9,5.0,0
ranked-praveen-pundareekaksha,Men's,20,9.0,0
